地域コード,地域,年齢,総数／計(人),総数／男(人),総数／女(人),日本人／計(人),日本人／男(人),日本人／女(人),外国人／計(人),外国人／男(人),外国人／女(人)
13104,新宿区,40～44,26855,14547,12308,23833,12963,10870,3022,1584,1438
13104,新宿区,45～49,26993,13999,12994,24493,12737,11756,2500,1262,1238
13104,新宿区,50～54,26910,13485,13425,24634,12380,12254,2276,1105,1171
13104,新宿区,55～59,22254,11353,10901,20635,10608,10027,1619,745,874
13104,新宿区,60～64,17522,8822,8700,16247,8297,7950,1275,525,750
13104,新宿区,65～69,14189,7066,7123,13321,6764,6557,868,302,566
13104,新宿区,70～74,14894,7288,7606,14471,7112,7359,423,176,247
13104,新宿区,75～79,14095,6369,7726,13837,6265,7572,258,104,154
13104,新宿区,80～84,10923,4365,6558,10784,4315,6469,139,50,89
13104,新宿区,85～89,7544,2577,4967,7474,2556,4918,70,21,49
13104,新宿区,90～94,3768,987,2781,3742,979,2763,26,8,18
13104,新宿区,95～99,1253,204,1049,1246,199,1047,7,5,2
13104,新宿区,100以上,187,26,161,184,24,160,3,2,1
13105,文京区,総数,232177,110561,121616,218141,103662,114479,14036,6899,7137
13105,文京区,0～4,9145,4682,4463,8889,4552,4337,256,130,126
13105,文京区,5～9,10740,5556,5184,10337,5343,4994,403,213,190
13105,文京区,10～14,9590,4863,4727,9202,4659,4543,388,204,184
13105,文京区,15～19,8687,4427,4260,8093,4093,4000,594,334,260
13105,文京区,20～24,13856,6973,6883,11313,5664,5649,2543,1309,1234
13105,文京区,25～29,18563,9264,9299,15528,7750,7778,3035,1514,1521
13105,文京区,30～34,17341,8611,8730,15475,7697,7778,1866,914,952
13105,文京区,35～39,17639,8472,9167,16368,7878,8490,1271,594,677
13105,文京区,40～44,18523,8966,9557,17452,8491,8961,1071,475,596
13105,文京区,45～49,18922,8974,9948,18221,8641,9580,701,333,368
13105,文京区,50～54,18160,8513,9647,17593,8243,9350,567,270,297
13105,文京区,55～59,15416,7251,8165,14945,7031,7914,471,220,251
13105,文京区,60～64,11893,5703,6190,11565,5545,6020,328,158,170
13105,文京区,65～69,9564,4614,4950,9326,4513,4813,238,101,137
13105,文京区,70～74,9734,4446,5288,9612,4382,5230,122,64,58
13105,文京区,75～79,8942,3933,5009,8861,3896,4965,81,37,44
13105,文京区,80～84,6945,2766,4179,6901,2750,4151,44,16,28
13105,文京区,85～89,4914,1626,3288,4885,1620,3265,29,6,23
13105,文京区,90～94,2656,741,1915,2635,734,1901,21,7,14
13105,文京区,95～99,823,161,662,818,161,657,5,-,5
13105,文京区,100以上,124,19,105,122,19,103,2,-,2
13106,台東区,総数,212388,108097,104291,193903,98687,95216,18485,9410,9075
13106,台東区,0～4,6043,3063,2980,5726,2902,2824,317,161,156
13106,台東区,5～9,5979,2983,2996,5664,2824,2840,315,159,156
13106,台東区,10～14,5641,2926,2715,5332,2753,2579,309,173,136
13106,台東区,15～19,5972,3099,2873,5129,2618,2511,843,481,362
13106,台東区,20～24,10823,5410,5413,8221,3984,4237,2602,1426,1176
13106,台東区,25～29,20667,10479,10188,17375,8758,8617,3292,1721,1571
13106,台東区,30～34,19109,10180,8929,16375,8767,7608,2734,1413,1321
13106,台東区,35～39,16857,9046,7811,15011,8083,6928,1846,963,883
13106,台東区,40～44,16477,8736,7741,14944,7982,6962,1533,754,779
13106,台東区,45～49,17269,9127,8142,16098,8550,7548,1171,577,594
13106,台東区,50～54,17585,9087,8498,16506,8591,7915,1079,496,583
13106,台東区,55～59,14216,7549,6667,13340,7147,6193,876,402,474
13106,台東区,60～64,10996,5902,5094,10345,5626,4719,651,276,375
13106,台東区,65～69,9072,4732,4340,8651,4543,4108,421,189,232
13106,台東区,70～74,10320,5389,4931,10109,5293,4816,211,96,115
13106,台東区,75～79,9547,4570,4977,9413,4501,4912,134,69,65
13106,台東区,80～84,7531,3132,4399,7452,3098,4354,79,34,45
13106,台東区,85～89,5081,1847,3234,5039,1835,3204,42,12,30
13106,台東区,90～94,2398,685,1713,2377,679,1698,21,6,15
13106,台東区,95～99,703,146,557,694,144,550,9,2,7
13106,台東区,100以上,102,9,93,102,9,93,-,-,-
13107,墨田区,総数,284555,140148,144407,268892,132882,136010,15663,7266,8397
13107,墨田区,0～4,9308,4759,4549,9003,4605,4398,305,154,151
13107,墨田区,5～9,9385,4752,4633,9049,4570,4479,336,182,154
13107,墨田区,10～14,8872,4597,4275,8524,4411,4113,348,186,162
13107,墨田区,15～19,9041,4631,4410,8419,4283,4136,622,348,274
13107,墨田区,20～24,15535,7675,7860,13379,6520,6859,2156,1155,1001
13107,墨田区,25～29,28300,13938,14362,25649,12614,13035,2651,1324,1327
13107,墨田区,30～34,25191,12659,12532,22869,11513,11356,2322,1146,1176
13107,墨田区,35～39,21726,11003,10723,20160,10267,9893,1566,736,830
13107,墨田区,40～44,21001,10723,10278,19710,10160,9550,1291,563,728
13107,墨田区,45～49,21869,11171,10698,20809,10743,10066,1060,428,632
13107,墨田区,50～54,22241,11358,10883,21276,11011,10265,965,347,618
13107,墨田区,55～59,18235,9407,8828,17460,9145,8315,775,262,513
13107,墨田区,60～64,14027,7193,6834,13458,7004,6454,569,189,380
13107,墨田区,65～69,12020,5952,6068,11747,5868,5879,273,84,189
13107,墨田区,70～74,14094,6934,7160,13889,6860,7029,205,74,131
13107,墨田区,75～79,12513,5732,6781,12404,5688,6716,109,44,65
13107,墨田区,80～84,10474,4179,6295,10407,4148,6259,67,31,36
13107,墨田区,85～89,6762,2453,4309,6736,2444,4292,26,9,17
13107,墨田区,90～94,3034,840,2194,3021,838,2183,13,2,11
13107,墨田区,95～99,818,173,645,815,172,643,3,1,2
13107,墨田区,100以上,109,19,90,108,18,90,1,1,-
13108,江東区,総数,539108,264566,274542,502102,246518,255584,37006,18048,18958
13108,江東区,0～4,20652,10472,10180,19122,9695,9427,1530,777,753
13108,江東区,5～9,22979,11741,11238,21254,10864,10390,1725,877,848
13108,江東区,10～14,22144,11364,10780,20683,10612,10071,1461,752,709
13108,江東区,15～19,20688,10603,10085,19376,9867,9509,1312,736,576
13108,江東区,20～24,26981,13678,13303,24040,12062,11978,2941,1616,1325
13108,江東区,25～29,38633,19350,19283,33809,16882,16927,4824,2468,2356
13108,江東区,30～34,36932,18416,18516,31757,15900,15857,5175,2516,2659
13108,江東区,35～39,39509,19670,19839,35015,17440,17575,4494,2230,2264
13108,江東区,40～44,41677,20992,20685,37752,19014,18738,3925,1978,1947
13108,江東区,45～49,45217,22747,22470,42569,21520,21049,2648,1227,1421
13108,江東区,50～54,47122,23816,23306,44899,22816,22083,2223,1000,1223
13108,江東区,55～59,37019,19209,17810,35374,18591,16783,1645,618,1027
13108,江東区,60～64,26798,13600,13198,25582,13113,12469,1216,487,729
13108,江東区,65～69,23179,11190,11989,22382,10858,11524,797,332,465
13108,江東区,70～74,27118,12812,14306,26648,12617,14031,470,195,275
13108,江東区,75～79,24481,11054,13427,24211,10937,13274,270,117,153
13108,江東区,80～84,19699,8011,11688,19518,7943,11575,181,68,113
13108,江東区,85～89,11824,4189,7635,11714,4147,7567,110,42,68
13108,江東区,90～94,5007,1394,3613,4958,1385,3573,49,9,40
13108,江東区,95～99,1255,242,1013,1245,239,1006,10,3,7
13108,江東区,100以上,194,16,178,194,16,178,-,-,-
13109,品川区,総数,408280,199866,208414,392795,192060,200735,15485,7806,7679
13109,品川区,0～4,15784,8040,7744,15382,7826,7556,402,214,188
