,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
,,野間口,さわ,大和,木宮,小池,うつみ,石丸,小野寺,しんどう,竹本,桜井,ドクター・中松,安野,清水,ＡＩメイヤー,桑原,ゴトウ,河合,福本,黒川,桑島,田母神,蓮舫,ないとう,内野,石丸,尾関,小松,かがた,福永,犬伏,武内,遠藤,上楽,二宮,中江,ふなはし,山田,加藤,草尾,津村,横山,前田,みなみ,ふくはら,木村,三輪,松尾,ホカリ,小林,加藤,ひまそら,向後,うしくぼ,古田,アキノリ将軍未満
,,翔,しげみ,行男,みつき,ゆりこ,さとる,伸二,こうき,伸夫,秀之,誠,,たかひろ,国明,,まりこ,テルキ,ゆうすけ,繁幸,あつひこ,康文,としお,,ひさお,愛里,幸人,あゆみ,けん,たくじ,かつや,宏明,隆,信一,むねゆき,大造,ともや,ゆめと,信一,英明,あつし,大作,緑,太一,俊輔,しるび,よしたか,陽一,芳治,ジン,弘,健一郎,あかね,真徳,のぶお,真,
,,無所属,無所属,無所属,未来党,無所属,市民がつくる政治の会,無所属,忠臣蔵義士新党,お金をみんなへ　シン独立党,無所属,日本第一党,無所属,無所属,清水国明と東京都の安全な未来をつくる会,ＡＩ党,無所属,ラブ＆ピース党,ジョーカー議員と投票率を上げる会,無所属,つばさの党,核融合党,無所属,無所属,無所属,カワイイ私の政見放送を見てね,石丸幸人党,ポーカー党,ゴルフ党,覇王党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,ＮＨＫから国民を守る党,無所属,無所属,無所属,無所属,無所属,無所属,（略称）土頭を働かし最高裁裁判官５人を弾劾する党,ネオ幕府アキノリ党
　　北区,確,35.000,25.000,210.000,124.000,77799.000,2511.000,36453.132,32.000,31.000,41.000,2372.000,622.000,4294.000,911.000,52.000,53.000,165.000,66.000,77.000,46.000,11.000,6971.000,32304.000,50.000,68.000,6257.867,9.000,25.000,20.000,31.000,5.000,14.000,28.000,6.000,99.000,19.000,11.000,26.000,8.000,14.000,3.000,63.000,14.000,4.000,12.000,16.000,8.000,8.000,12.000,214.000,14.000,3340.000,73.000,23.000,23.000,20.000
　　荒川区,確,18.000,19.000,132.000,51.000,45373.000,1635.000,23530.449,11.000,7.000,11.000,1622.000,371.000,2411.000,570.000,53.000,18.000,95.000,41.000,52.000,24.000,6.000,4113.000,17136.000,23.000,30.000,2165.550,8.000,22.000,9.000,19.000,12.000,2.000,9.000,1.000,10.000,10.000,9.000,16.000,10.000,7.000,,33.000,8.000,1.000,7.000,9.000,2.000,7.000,3.000,107.000,8.000,1781.000,30.000,26.000,8.000,13.000
　　板橋区,確,35.000,81.000,452.000,224.000,117802.000,4364.000,66658.095,126.000,17.000,20.000,4058.000,933.000,5429.000,1695.000,97.000,79.000,234.000,78.000,206.000,70.000,32.000,11147.000,49982.000,97.000,111.000,2329.904,14.000,27.000,34.000,33.000,36.000,32.000,36.000,9.000,37.000,45.000,24.000,20.000,23.425,34.000,16.000,92.000,27.000,9.000,19.000,30.000,14.000,14.000,24.000,346.000,31.574,5116.000,87.000,39.000,7.000,32.000
　　練馬区,確,84.000,64.000,562.000,265.000,164174.000,6555.000,86758.915,19.000,36.000,29.000,4735.000,1215.000,8096.000,2097.000,134.000,65.000,340.000,96.000,186.000,84.000,11.000,14577.000,68655.000,135.000,190.000,7483.084,32.000,31.000,31.000,66.000,7.000,21.000,50.000,8.000,39.000,28.000,16.000,21.000,15.000,22.000,14.000,137.000,31.000,16.000,24.000,32.000,43.000,12.000,27.000,490.000,24.000,6474.000,127.000,50.000,17.000,44.000
　　足立区,確,55.000,75.000,324.000,221.000,148432.000,4600.000,70901.846,23.000,43.000,22.000,5243.000,927.000,4096.000,1763.000,198.000,104.000,270.000,114.000,118.000,106.000,9.000,11732.000,51903.000,78.000,94.000,1646.153,24.000,19.000,35.000,62.000,12.000,13.000,44.000,8.000,32.000,21.000,23.000,31.000,24.000,21.000,11.000,120.000,24.000,8.000,17.000,80.000,6.000,9.000,12.000,271.000,27.000,5035.000,75.000,139.000,18.000,28.000
　　葛飾区,確,50.000,40.000,272.000,153.000,98479.000,3334.000,52929.452,32.000,16.000,28.000,3358.000,753.000,3214.000,1530.000,89.000,42.000,260.000,79.000,85.000,63.000,8.000,8467.000,36746.000,64.000,62.000,769.547,27.000,29.000,19.000,30.000,4.000,19.000,28.000,8.000,30.000,39.000,15.000,16.000,10.000,11.000,6.000,95.000,24.000,13.000,42.000,26.000,20.000,11.000,12.000,254.000,16.000,3461.000,59.000,27.000,16.000,23.000
　　江戸川区,確,43.000,52.000,417.000,243.000,143930.000,4628.000,73963.088,36.000,27.000,69.000,4905.000,1025.000,4685.000,2046.000,144.000,66.000,286.000,101.000,163.000,68.000,13.000,12401.000,48505.000,114.000,116.000,4412.911,14.000,77.000,29.000,62.000,7.000,23.000,74.000,5.000,26.000,27.000,13.000,43.000,21.000,21.000,13.000,122.000,15.000,7.000,13.000,44.000,15.000,16.000,21.000,374.000,19.000,5256.000,90.000,98.000,20.000,43.000
市部計,,348.000,344.000,3035.000,1555.000,933140.000,37246.000,476801.897,171.000,223.000,255.000,21569.000,6883.000,30550.000,12128.000,895.000,573.000,1598.000,542.000,1019.000,600.000,137.000,73052.000,423022.000,793.000,647.000,33004.077,126.000,258.000,188.000,426.000,153.000,163.000,280.952,68.000,231.000,121.000,97.000,239.047,175.529,146.000,75.000,661.000,175.000,101.000,174.000,197.000,107.000,127.000,253.000,2352.000,215.467,30154.000,540.000,337.000,110.000,233.000
　　八王子市,確,48.000,48.000,499.000,237.000,123401.000,4455.000,62479.255,18.000,24.000,23.000,2823.000,738.000,2680.000,1535.000,100.000,73.000,205.000,60.000,129.000,66.000,20.000,8862.000,53862.000,79.000,82.000,2128.744,23.000,25.000,27.000,131.000,5.000,22.000,34.000,8.000,30.000,16.000,13.000,53.000,23.377,19.000,9.000,87.000,24.000,14.000,39.000,25.000,14.000,35.000,43.000,334.000,38.622,3658.000,48.000,47.000,13.000,27.000
　　立川市,確,11.000,16.000,111.000,70.000,41566.000,1565.000,19021.595,7.000,9.000,8.000,1007.000,231.000,1190.000,565.000,46.000,30.000,67.000,31.000,29.000,23.000,4.000,3252.000,16719.000,31.000,17.000,2188.404,4.000,6.000,6.000,14.000,3.000,5.000,17.000,1.000,10.000,5.000,10.000,5.000,7.000,15.000,6.000,36.000,10.000,4.000,5.000,15.000,3.000,6.000,7.000,93.000,13.000,1350.000,21.000,7.000,2.000,9.000
