地域 コード,地域,時間軸(年次),世帯の年間収入階級,普通世帯数【世帯】
13113,渋谷区,2018年,1500万円以上,"8,670"
13114,中野区,2018年,総数,"201,660"
13114,中野区,2018年,100万円未満,"12,480"
13114,中野区,2018年,100～200万円未満,"22,390"
13114,中野区,2018年,200～300万円未満,"29,340"
13114,中野区,2018年,300～400万円未満,"25,510"
13114,中野区,2018年,400～500万円未満,"20,210"
13114,中野区,2018年,500～700万円未満,"22,000"
13114,中野区,2018年,700～1000万円未満,"20,550"
13114,中野区,2018年,1000～1500万円未満,"11,570"
13114,中野区,2018年,1500万円以上,"5,300"
13115,杉並区,2018年,総数,"316,530"
13115,杉並区,2018年,100万円未満,"13,570"
13115,杉並区,2018年,100～200万円未満,"22,340"
13115,杉並区,2018年,200～300万円未満,"46,900"
13115,杉並区,2018年,300～400万円未満,"42,090"
13115,杉並区,2018年,400～500万円未満,"37,370"
13115,杉並区,2018年,500～700万円未満,"38,620"
13115,杉並区,2018年,700～1000万円未満,"33,790"
13115,杉並区,2018年,1000～1500万円未満,"21,750"
13115,杉並区,2018年,1500万円以上,"11,250"
13116,豊島区,2018年,総数,"177,110"
13116,豊島区,2018年,100万円未満,"10,030"
13116,豊島区,2018年,100～200万円未満,"17,620"
13116,豊島区,2018年,200～300万円未満,"26,750"
13116,豊島区,2018年,300～400万円未満,"25,660"
13116,豊島区,2018年,400～500万円未満,"18,720"
13116,豊島区,2018年,500～700万円未満,"20,930"
13116,豊島区,2018年,700～1000万円未満,"16,250"
13116,豊島区,2018年,1000～1500万円未満,"9,890"
13116,豊島区,2018年,1500万円以上,"5,370"
13117,北区,2018年,総数,"182,810"
13117,北区,2018年,100万円未満,"9,250"
13117,北区,2018年,100～200万円未満,"25,160"
13117,北区,2018年,200～300万円未満,"29,010"
13117,北区,2018年,300～400万円未満,"24,210"
13117,北区,2018年,400～500万円未満,"20,830"
13117,北区,2018年,500～700万円未満,"24,240"
13117,北区,2018年,700～1000万円未満,"18,700"
13117,北区,2018年,1000～1500万円未満,"10,430"
13117,北区,2018年,1500万円以上,"4,110"
13118,荒川区,2018年,総数,"104,650"
13118,荒川区,2018年,100万円未満,"4,600"
13118,荒川区,2018年,100～200万円未満,"11,800"
13118,荒川区,2018年,200～300万円未満,"16,720"
13118,荒川区,2018年,300～400万円未満,"13,680"
13118,荒川区,2018年,400～500万円未満,"10,890"
13118,荒川区,2018年,500～700万円未満,"15,800"
13118,荒川区,2018年,700～1000万円未満,"12,040"
13118,荒川区,2018年,1000～1500万円未満,"6,160"
13118,荒川区,2018年,1500万円以上,"1,670"
13119,板橋区,2018年,総数,"298,720"
13119,板橋区,2018年,100万円未満,"18,970"
13119,板橋区,2018年,100～200万円未満,"35,530"
13119,板橋区,2018年,200～300万円未満,"47,490"
13119,板橋区,2018年,300～400万円未満,"48,940"
13119,板橋区,2018年,400～500万円未満,"34,780"
13119,板橋区,2018年,500～700万円未満,"37,480"
13119,板橋区,2018年,700～1000万円未満,"27,920"
13119,板橋区,2018年,1000～1500万円未満,"15,840"
13119,板橋区,2018年,1500万円以上,"5,290"
13120,練馬区,2018年,総数,"340,320"
13120,練馬区,2018年,100万円未満,"16,450"
13120,練馬区,2018年,100～200万円未満,"32,090"
13120,練馬区,2018年,200～300万円未満,"53,110"
13120,練馬区,2018年,300～400万円未満,"48,540"
13120,練馬区,2018年,400～500万円未満,"41,310"
13120,練馬区,2018年,500～700万円未満,"49,540"
13120,練馬区,2018年,700～1000万円未満,"43,910"
13120,練馬区,2018年,1000～1500万円未満,"25,600"
13120,練馬区,2018年,1500万円以上,"11,160"
13121,足立区,2018年,総数,"317,060"
13121,足立区,2018年,100万円未満,"12,730"
13121,足立区,2018年,100～200万円未満,"39,560"
13121,足立区,2018年,200～300万円未満,"49,590"
13121,足立区,2018年,300～400万円未満,"44,480"
13121,足立区,2018年,400～500万円未満,"36,260"
13121,足立区,2018年,500～700万円未満,"47,780"
13121,足立区,2018年,700～1000万円未満,"30,720"
